event_time,down_time,pressure,major_axis,minor_axis,size,user
3105914000,3105914000,0.3803922,5.995663,5.995663,0.06,1
3105914000,3105914000,0.4156863,5.995663,5.995663,0.06,1
3105914000,3105914000,0.4156863,5.995663,5.995663,0.06,1
3105914000,3105914000,0.3921569,5.995663,5.995663,0.06,1
3105914400,3105914400,0.47450984,5.995663,5.995663,0.06,1
3105914600,3105914400,0.47058827,5.995663,5.995663,0.06,1
3105914600,3105914400,0.47058827,5.995663,5.995663,0.06,1
3105914600,3105914400,0.47450984,6.9949403,6.9949403,0.07,1
3105917000,3105917000,0.49803925,7.9942174,7.9942174,0.08,1
3105917000,3105917000,0.49411768,6.9949403,6.9949403,0.07,1
3105917200,3105917000,0.49411768,6.9949403,6.9949403,0.07,1
3105917400,3105917400,0.49803925,7.9942174,7.9942174,0.08,1
3105917700,3105917400,0.4901961,6.9949403,6.9949403,0.07,1
3105917700,3105917400,0.4901961,6.9949403,6.9949403,0.07,1
3105917700,3105917700,0.49803925,6.9949403,6.9949403,0.07,1
3105918000,3105917700,0.4901961,5.995663,5.995663,0.06,1
3105918000,3105917700,0.4901961,5.995663,5.995663,0.06,1
3105918200,3105918200,0.49803925,9.992772,9.992772,0.099999994,1
3105918200,3105918200,0.49803925,7.9942174,7.9942174,0.08,1
3105918200,3105918200,0.4901961,6.9949403,6.9949403,0.07,1
3105918200,3105918200,0.4901961,6.9949403,6.9949403,0.07,1
3105918500,3105918500,0.49803925,10.992049,10.992049,0.11,1
3105918700,3105918500,0.49803925,9.992772,9.992772,0.099999994,1
3105918700,3105918500,0.49411768,8.993495,8.993495,0.089999996,1
3105918700,3105918500,0.49411768,8.993495,8.993495,0.089999996,1
3105919000,3105919000,0.34117648,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.34901962,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.35686275,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.3647059,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.37254903,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.37647063,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.3803922,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.38431376,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.3803922,3.9971087,3.9971087,0.04,1
3105919000,3105919000,0.3803922,3.9971087,3.9971087,0.04,1
3105919200,3105919200,0.28627452,4.996386,4.996386,0.049999997,1
3105919200,3105919200,0.2901961,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.29803923,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.3019608,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.30980393,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.31764707,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.3254902,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.33333334,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.32941177,4.996386,4.996386,0.049999997,1
3105919500,3105919200,0.32941177,4.996386,4.996386,0.049999997,1
3105919700,3105919700,0.48235297,5.995663,5.995663,0.06,1
3105919700,3105919700,0.47450984,5.995663,5.995663,0.06,1
3105919700,3105919700,0.47450984,5.995663,5.995663,0.06,1
3105920000,3105920000,0.49803925,8.993495,8.993495,0.089999996,1
3105920300,3105920000,0.49803925,9.992772,9.992772,0.099999994,1
3105920300,3105920000,0.49803925,10.992049,10.992049,0.11,1
3105920300,3105920000,0.49803925,11.991326,11.991326,0.12,1
